processo_numero;processo_ocorrencia
8106408118;Não há Ocorrência para essa Solicitação
8106401718;Imoveis com Danos/Risco
8106372917;Arvores em Risco
8106364617;Imoveis com Danos/Risco
8106339018;Não há Ocorrência para essa Solicitação
8106332518;Deslizamentos de Barreiras
8106332518;Desabamento Parcial Imoveis
8106326518;Imoveis com Danos/Risco
8106308917;Imoveis com Danos/Risco
8106301417;Não há Ocorrência para essa Solicitação
8106299017;Não há Ocorrência para essa Solicitação
8106296017;Muro com Danos
8106293117;Não há Ocorrência para essa Solicitação
8106289417;Não há Ocorrência para essa Solicitação
8106286517;Imoveis com Danos/Risco
8106170717;Invasao de Terreno de Auxilio Moradia
8106131018;Não há Ocorrência para essa Solicitação
8106127218;Não há Ocorrência para essa Solicitação
8106125018;Arvores em Risco
8106114818;Não há Ocorrência para essa Solicitação
8106107317;Não há Ocorrência para essa Solicitação
8106098417;Não há Ocorrência para essa Solicitação
8105990918;Deslizamentos de Barreiras
8105930618;Não há Ocorrência para essa Solicitação
8105903017;Não há Ocorrência para essa Solicitação
8105895817;Imoveis com Danos/Risco
8105879217;Muro com Danos
8105829517;Não há Ocorrência para essa Solicitação
8105823518;Não há Ocorrência para essa Solicitação
8105653417;Não há Ocorrência para essa Solicitação
8105636217;Imoveis com Danos/Risco
8105610118;Não há Ocorrência para essa Solicitação
8105608917;Não há Ocorrência para essa Solicitação
8105597717;Não há Ocorrência para essa Solicitação
8105481917;Imoveis com Danos/Risco
8105481718;Não há Ocorrência para essa Solicitação
8105481718;Arvores em Risco
8105437017;Desabamento Total de Obras de Contencao/Drenagem
8105423917;Imoveis com Danos/Risco
8105394718;Não há Ocorrência para essa Solicitação
8105325717;Não há Ocorrência para essa Solicitação
8105272017;Imoveis com Danos/Risco
8105207417;Imoveis com Danos/Risco
8105199117;Não há Ocorrência para essa Solicitação
8105197917;Não há Ocorrência para essa Solicitação
8105193317;Não há Ocorrência para essa Solicitação
8105189617;Imoveis com Danos/Risco
8105133017;Não há Ocorrência para essa Solicitação
8105124018;Imoveis com Danos/Risco
8105012718;Muro com Danos
8104956317;Invasao de Terreno de Auxilio Moradia
8104944517;Não há Ocorrência para essa Solicitação
